aktifitas,tanggal,kategori,catatan,isPengeluaran,jumlah
Suru cek kenalpot motor,2024-02-04,['Belanja'],,True,10000
Bensin,2024-02-05,['Kuliah'],,True,20000
Nyebrang,2024-02-05,['Kuliah'],,True,2000
Nyebrang,2024-02-06,['Kuliah'],,True,2000
Makan siang,2024-02-06,"['Kuliah', 'Makan']",,True,16000
Nyebrang,2024-02-06,['Kuliah'],,True,2000
Bensin,2024-02-07,['Kuliah'],,True,20000
Nyebrang,2024-02-07,['Kuliah'],,True,2000
Nasi Kuning,2024-02-07,"['Kuliah', 'Makan']",,True,10000
Nyebrang,2024-02-07,['Kuliah'],,True,2000
Air gelas,2024-02-07,"['Kuliah', 'Makan']",,True,2000
Iuran Perumaha,2024-02-08,['Iuran'],,True,50000
Tarik Uang Kiriman Bapak,2024-02-09,['Belanja'],,False,1000000
Mie dan bubur instan,2024-02-09,['Makan'],,True,25000
Tempe,2024-02-09,['Makan'],,True,10000
Gorengan,2024-02-10,['Makan'],,True,10000
Galon,2024-02-10,['Makan'],,True,5000
Headset,2024-02-11,['Kuliah'],,True,60000
Nyebrang,2024-02-11,['Belanja'],,True,2000
"Garnier, Kopi, dan Biskuit",2024-02-11,['Makan'],,True,68000
Parkir,2024-02-11,['Belanja'],,True,3000
Nyebrang,2024-02-11,['Belanja'],,True,2000
Nyebrang,2024-02-12,['Kuliah'],,True,2000
Air Gelas,2024-02-12,['Makan'],,True,2000
C1000 dan roti,2024-02-12,['Makan'],Singgah di Alfamart Sungguminasa akibat macet + hujan,True,18500
Bensin,2024-02-12,['Makan'],,True,20000
Roti,2024-02-12,['Makan'],,True,10000
Air,2024-02-13,['Makan'],,True,2000
Nyebrang,2024-02-13,['Belanja'],,True,2000
"Mie, biskuit, bubur instan",2024-02-14,['Makan'],,True,36000
Nyebrang,2024-02-15,['Kuliah'],,True,2000
Materai 10000 ,2024-02-15,['Kuliah'],Sa beli 3 untuk berkas ppl,True,36000
Jajan,2024-02-15,"['Jajan', 'Kuliah']",,True,5000
Bensin,2024-02-15,['Kuliah'],,True,20000
Minuman dan roti,2024-02-15,['Makan'],,True,16000
Bakso,2024-02-15,['Makan'],,True,10000
"Bubur instan, sabun, keripik, dan nutrisari",2024-02-16,['Makan'],"Sabun 4x, Bubur instan 4x, keripik 1x, Nutrisari 2x",True,58000
Nyebrang,2024-02-16,['Belanja'],,True,2000
Galon,2024-02-17,['Makan'],,True,10000
Nyebrang,2024-02-18,['Belanja'],,True,4000
Beli kue,2024-02-18,['Makan'],,True,15000
Beli Mie,2024-02-18,['Makan'],,True,10000
Nyebrang,2024-02-19,['Kuliah'],,True,2000
Nyebrang,2024-02-19,['Kuliah'],,True,10000
Nyebrang,2024-02-20,['Kuliah'],,True,2000
Jajan,2024-02-20,"['Jajan', 'Kuliah']","10k minuman
16k roti
14k kurma",True,40000
Bensin,2024-02-21,['Kuliah'],,True,20000
Nyebrang,2024-02-21,['Kuliah'],,True,2000
"Beli mie, kopi, dan sikat kawat",2024-02-21,['Makan'],,True,36000
Nyebrang,2024-02-21,['Kuliah'],,True,2000
Nyebrang,2024-02-22,['Kuliah'],,True,2000
Cemilan,2024-02-22,['Makan'],,True,10000
Nyebrang,2024-02-22,"['Kuliah', 'Makan']",,True,2000
Galon,2024-02-22,['Makan'],,True,5000
Nyebrang,2024-02-22,['Kuliah'],,True,2000
Nyebrang,2024-02-22,['Kuliah'],,True,2000
Nyebrang,2024-02-26,['Kuliah'],,True,2000
Nyebrang,2024-02-27,['Kuliah'],,True,2000
Bensin,2024-02-27,['Kuliah'],,True,20000
Mie & Kopi,2024-02-28,['Makan'],,True,41000
Nyebrang,2024-02-28,['Kuliah'],,True,2000
Nyebrang,2024-02-28,['Kuliah'],,True,2000
Nyebrang,2024-02-29,['Kuliah'],,True,2000
Nyebrang,2024-02-29,['Kuliah'],,True,2000
Beli Mie,2024-02-29,['Makan'],,True,46000
Bensin,2024-03-01,['Kuliah'],,True,20000
Uang dari bapak,2024-03-02,['Hadiah'],,False,300000
Nasi goreng,2024-03-02,['Makan'],,True,12000
Bensin,2024-03-03,['Kuliah'],,True,20000
Ganti busi,2024-03-03,['Kuliah'],,True,30000
Maizon,2024-03-03,['Makan'],,True,12000
Nasi goreng,2024-03-03,['Makan'],,True,12000
Sup,2024-03-03,['Makan'],,True,16000
